country,country.code,gdp00,gdp04,gdp08,gdp12,gdp16,pop00,pop04,pop08,pop12,pop16,soviet,comm,muslim,oneparty,gold00,gold04,gold08,gold12,gold16,tot00,tot04,tot08,tot12,tot16,totgold00,totgold04,totgold08,totgold12,totgold16,totmedals00,totmedals04,totmedals08,totmedals12,totmedals16,bmi,altitude,athletes00,athletes04,athletes08,athletes12,athletes16,host
Afghanistan,AFG,#N/A,5285,10191,20537,19469,20094,24119,27294,30697,34656,0,0,1,0,0,0,0,0,0,0,0,1,1,0,298,301,301,301,298,915,924,949,956,949,23.3,1790,0,5,4,6,3,0
Algeria,DZA,54790,85325,171001,209059,159049,31184,32831,34861,37566,40606,0,0,1,0,1,0,0,1,0,5,0,2,1,2,298,301,301,301,298,915,924,949,956,949,25.6,1,47,61,56,38,64,0
Argentina,ARG,284204,164658,361558,545982,554861,37057,38729,40382,42097,43847,0,0,0,0,0,2,2,1,3,4,6,6,4,4,298,301,301,301,298,915,924,949,956,949,27.75,10.5,143,152,132,137,215,0
Armenia,ARM,1912,3577,11662,10619,10546,3070,3001,2908,2882,2925,1,1,0,0,0,0,0,0,1,1,0,5,2,4,298,301,301,301,298,915,924,949,956,949,#N/A,989,25,18,25,24,31,0
Australia,AUS,415034,611904,1052585,1543411,1208039,19153,20127,21249,22742,24211,0,0,0,0,16,17,14,8,8,58,50,46,35,29,298,301,301,301,298,915,924,949,956,949,27.25,605,617,470,432,404,420,1
Austria,AUT,196800,300904,430294,409425,390800,8012,8172,8321,8430,8737,0,0,0,0,2,2,0,0,0,3,7,3,0,1,298,301,301,301,298,915,924,949,956,949,25.65,170,92,74,70,70,72,0
Azerbaijan,AZE,5273,8680,48852,69684,37868,8049,8307,8763,9296,9758,1,1,0,0,2,1,1,2,1,3,5,6,10,18,298,301,301,301,298,915,924,949,956,949,#N/A,-28,31,36,44,52,56,0
Bahamas,BHS,8076,9055,10526,10721,11839,298,323,349,372,391,0,0,0,0,2,1,0,1,1,3,2,2,1,2,298,301,301,301,298,915,924,949,956,949,#N/A,2,25,22,25,21,29,0
Bahrain,BHR,9063,13150,25711,30749,32153,665,830,1115,1300,1425,0,0,1,0,0,0,0,1,1,0,0,0,1,2,298,301,301,301,298,915,924,949,956,949,#N/A,6,4,10,14,12,33,0
Belarus,BLR,12739,23144,60763,65685,47723,9980,9730,9528,9464,9502,1,1,0,0,3,2,3,2,1,17,13,14,10,9,298,301,301,301,298,915,924,949,956,949,26.7,198,139,151,177,160,120,0
Belgium,BEL,237905,370885,518626,497884,467546,10251,10421,10710,11128,11331,0,0,0,0,0,1,2,0,2,5,3,2,3,6,298,301,301,301,298,915,924,949,956,949,26.25,76,68,50,94,111,104,1
Botswana,BWA,5788,8957,10945,14686,15649,1728,1829,1946,2089,2250,0,0,0,0,0,0,0,0,0,0,0,0,1,0,298,301,301,301,298,915,924,949,956,949,#N/A,983,7,11,11,4,12,0
Brazil,BRA,655421,669317,1695825,2465189,1793989,175288,184738,192979,200561,207653,0,0,0,0,0,5,3,3,7,12,10,16,17,19,298,301,301,301,298,915,924,949,956,949,26.55,1079,198,243,268,248,462,1
Bulgaria,BGR,13153,25958,54409,53903,53241,8170,7717,7493,7306,7128,0,1,0,0,5,2,1,0,0,13,12,5,3,3,298,301,301,301,298,915,924,949,956,949,26.55,580,91,95,70,63,50,0
Cameroon,CMR,10084,17431,26410,29104,32218,15274,16959,18907,21082,23439,0,0,0,0,1,1,1,0,0,1,1,1,1,0,298,301,301,301,298,915,924,949,956,949,#N/A,726,32,17,32,32,24,0
Canada,CAN,742293,1023196,1549131,1824289,1535768,30770,31995,33246,34751,36265,0,0,0,0,3,3,3,2,4,14,12,20,18,22,298,301,301,301,298,915,924,949,956,949,27.05,74,294,263,332,273,310,1
Chile,CHL,77861,99210,179638,267122,250036,15263,15974,16662,17310,17910,0,0,0,0,0,2,0,0,0,1,3,1,0,0,298,301,301,301,298,915,924,949,956,949,28,521,50,22,26,35,42,0
China,CHN,1211347,1955347,4598206,8560547,11190993,1262645,1296075,1324655,1350695,1378665,0,1,0,1,28,32,48,38,26,58,63,100,91,70,298,301,301,301,298,915,924,949,956,949,23.8,44,271,384,599,375,392,1
Colombia,COL,99887,117075,243982,369660,280091,40404,42724,44902,46881,48653,0,0,0,0,1,0,0,1,3,1,2,3,8,8,298,301,301,301,298,915,924,949,956,949,26.25,2625,44,53,67,101,143,0
Croatia,HRV,21774,41575,70481,56565,51339,4426,4439,4435,4268,4174,0,1,0,0,1,1,0,3,5,2,5,5,6,10,298,301,301,301,298,915,924,949,956,949,27.45,130,88,81,99,107,85,0
Cuba,CUB,30565,38203,60806,73141,#N/A,11151,11267,11310,11382,11476,0,1,0,1,11,9,3,5,5,29,27,29,15,11,298,301,301,301,298,915,924,949,956,949,25.7,4,229,151,158,109,117,0
Cyprus,CYP,10183,17422,27839,25041,20154,943,1010,1082,1135,1170,0,0,0,0,0,0,0,0,0,0,0,0,1,0,298,301,301,301,298,915,924,949,956,949,#N/A,170,22,20,17,13,15,0
Czech Republic,CZE,61649,119162,235719,207376,195305,10255,10197,10385,10511,10566,0,1,0,0,2,1,3,4,1,8,9,7,11,10,298,301,301,301,298,915,924,949,956,949,#N/A,244,119,142,134,133,104,0
Denmark,DNK,164159,251373,353361,327149,306900,5340,5405,5494,5592,5728,0,0,0,0,2,2,2,2,2,6,8,7,9,15,298,301,301,301,298,915,924,949,956,949,25.45,0,97,92,84,114,119,0
Dominican Republic,DOM,24305,22693,48289,60658,72343,8563,9103,9637,10155,10649,0,0,0,0,0,1,1,1,0,0,1,2,2,1,298,301,301,301,298,915,924,949,956,949,#N/A,0,13,33,24,33,26,0
Ecuador,ECU,18328,36592,61763,87925,98614,12629,13510,14448,15420,16385,0,0,0,0,0,0,0,0,0,0,0,1,0,0,298,301,301,301,298,915,924,949,956,949,27.25,2850,10,16,25,36,37,0
Egypt,EGY,99839,78845,162818,279373,332928,69906,75382,80954,87813,95689,0,0,1,0,0,1,0,0,0,0,5,2,4,3,298,301,301,301,298,915,924,949,956,949,29.6,22,89,97,101,109,121,0
Eritrea,ERI,706,1109,1380,3092,5010,3393,3859,4233,4561,4955,0,0,0,1,0,0,0,0,0,0,1,0,0,0,298,301,301,301,298,915,924,949,956,949,20.7,2325,3,4,10,12,12,0
Estonia,EST,5686,12059,24194,23044,23338,1397,1363,1337,1323,1316,1,1,0,0,1,0,1,0,0,3,3,2,2,1,298,301,301,301,298,915,924,949,956,949,26.5,37,33,42,47,32,46,0
Ethiopia,ETH,8242,10131,27067,43311,73001,66537,74624,83185,92444,102403,0,0,0,0,4,2,4,3,1,8,7,7,8,8,298,301,301,301,298,915,924,949,956,949,20.55,2355,26,26,27,33,37,0
Fiji,FJI,1684,2728,3523,3972,4671,811,818,843,874,899,0,0,0,0,0,0,0,0,1,0,0,0,0,1,298,301,301,301,298,915,924,949,956,949,#N/A,0,7,8,6,9,53,0
Finland,FIN,125540,196768,283742,256706,238678,5176,5228,5313,5414,5495,0,0,0,0,2,0,1,0,0,4,2,4,3,1,298,301,301,301,298,915,924,949,956,949,26.15,25,70,53,57,56,54,1
France,FRA,1362249,2115742,2918383,2683825,2465134,60913,62705,64375,65660,66860,0,0,0,0,13,11,7,11,10,38,33,43,35,42,298,301,301,301,298,915,924,949,956,949,25.2,34,337,308,309,324,393,1
Gabon,GAB,5068,7756,15509,17171,14014,1231,1364,1536,1757,1980,0,0,0,0,0,0,0,0,0,0,0,0,1,0,298,301,301,301,298,915,924,949,956,949,#N/A,0,5,5,4,21,6,0
Georgia,GEO,3057,5125,12795,15846,14378,4418,4245,4030,3825,3719,1,1,0,0,0,2,3,1,2,6,4,7,7,7,298,301,301,301,298,915,924,949,956,949,#N/A,451,36,32,35,34,40,0
Germany,DEU,1949954,2819245,3752366,3543984,3477796,82212,82516,82110,80426,82349,0,0,0,0,13,13,16,11,17,56,49,41,44,42,298,301,301,301,298,915,924,949,956,949,26.7,34,422,441,420,383,418,1
Greece,GRC,130134,240521,354461,245671,192691,10806,10955,11078,11045,10776,0,0,0,0,4,6,0,0,3,13,16,3,2,6,298,301,301,301,298,915,924,949,956,949,27.25,153,140,426,152,102,92,1
Grenada,GRD,520,599,826,800,1056,102,103,104,105,107,0,0,0,0,0,0,0,1,0,0,0,0,1,1,298,301,301,301,298,915,924,949,956,949,26.95,25,3,5,9,8,7,0
Guatemala,GTM,19289,23965,39137,50388,68664,11651,12797,14006,15271,16582,0,0,0,0,0,0,0,0,0,0,0,0,1,0,298,301,301,301,298,915,924,949,956,949,#N/A,1529,15,18,12,19,21,0
Hong Kong,HKG,171668,169100,219280,262629,320881,6665,6784,6958,7150,7337,0,0,0,0,0,0,0,0,0,0,1,0,1,0,298,301,301,301,298,915,924,949,956,949,24.15,100,31,32,34,41,37,0
Hungary,HUN,47311,104067,157998,127857,125817,10211,10107,10038,9920,9814,0,1,0,0,8,8,3,8,8,17,17,10,18,15,298,301,301,301,298,915,924,949,956,949,27.4,102,178,209,171,152,154,0
Iceland,ISL,8927,13723,17658,14292,20304,281,292,317,321,335,0,0,0,0,0,0,0,0,0,1,0,1,0,0,298,301,301,301,298,915,924,949,956,949,26.35,15,18,26,27,27,8,0
India,IND,462147,699689,1186953,1827638,2274230,1053051,1126136,1197147,1263066,1324171,0,0,0,0,0,0,1,0,0,1,1,3,6,2,298,301,301,301,298,915,924,949,956,949,21.8,210,65,73,53,81,112,0
Indonesia,IDN,165021,256837,510229,917870,932256,211540,223615,236159,248883,261115,0,0,0,0,1,1,1,0,1,6,4,6,3,3,298,301,301,301,298,915,924,949,956,949,23.05,3,47,38,24,22,28,0
Iran,IRN,109592,190043,406071,598853,418977,66132,69617,72846,76454,80277,0,0,1,0,3,2,1,5,3,4,6,2,13,8,298,301,301,301,298,915,924,949,956,949,26.25,1189,33,37,54,52,63,0
Ireland,IRL,99854,193870,275020,225572,304819,3805,4070,4490,4600,4755,0,0,0,0,0,0,0,1,0,1,0,3,6,2,298,301,301,301,298,915,924,949,956,949,27.55,8,64,46,55,64,76,0
Israel,ISR,132339,135445,215840,257297,317748,6289,6809,7309,7911,8546,0,0,0,0,0,1,0,0,0,1,2,1,0,2,298,301,301,301,298,915,924,949,956,949,27.4,754,39,36,43,37,47,0
Italy,ITA,1141760,1798315,2390729,2072823,1859384,56942,57685,58827,59540,60627,0,0,0,0,13,10,8,8,8,34,32,27,28,28,298,301,301,301,298,915,924,949,956,949,25.8,14,361,364,333,281,309,1
Ivory Coast,CIV,10717,16554,24225,27041,36375,16687,17998,19498,21419,23696,0,0,1,0,0,0,0,0,1,0,0,0,0,2,298,301,301,301,298,915,924,949,956,949,#N/A,217,14,5,21,9,12,0
Jamaica,JAM,8985,10151,13679,14800,14057,2657,2729,2790,2841,2881,0,0,0,0,0,2,5,4,6,9,5,10,12,11,298,301,301,301,298,915,924,949,956,949,27.7,53,48,47,50,45,56,0
